01,Edward Buchanan,fortac@amowuhda.gy,4/27/1971,(579) 380-4653
01,Marvin Goodman,ret@ofi.ga,7/9/1986,(463) 331-9778
02,Olive Wong,ket@gev.mz,10/15/1996,(456) 817-2112
02,Rosalie Bradley,gohtesavi@su.kz,6/22/1980,(241) 821-5127
08,Cynthia Caldwell,mazuleho@piloez.an,6/7/1986,(711) 884-2848
11,Martin Baldwin,lavod@dutlesju.uz,11/12/1990,(931) 925-9384
44,Max Riley,fe@mezili.tr,12/4/1991,(482) 232-5220
46,Virgie West,ipihutim@didpitew.cg,10/17/1977,(922) 862-8328
49,Jorge Wood,vofuzari@kuswet.tr,10/16/1967,(309) 925-4786
49,Martin Chapman,fubrapih@si.at,3/13/1992,(338) 209-6816
